user_id,track_slug,subscription_date
6,kerala-psc,2021-06-04
6,KTET,2021-06-04
608,spoken-english,2021-06-04
608,APPSC,2021-06-04
608,Eng_With_Awal,2021-06-04
608,Tet,2021-06-04
635,spoken-english,2021-06-04
745,TSPSC,2021-06-04
1506,PET,2021-06-04
1512,spoken-english,2021-06-04
1642,Spoken_eng_hindi,2021-06-04
1796,BANK-INS,2021-06-04
1831,K_HSA,2021-06-04
2610,Spoken_eng_hindi,2021-06-05
3418,Spoken_eng_hindi,2021-06-05
3421,Spoken_eng_hindi,2021-06-05
3439,TNPSC,2021-06-05
3458,spoken-english,2021-06-05
3464,Staff_Nurse,2021-06-05
3464,Apti_ess,2021-06-27
3664,kerala-psc,2021-06-05
3664,ssc,2021-06-05
3827,Spoken_eng_hindi,2021-06-05
5201,spoken-english,2021-06-05
5201,SE_Junior,2021-06-05
5243,spoken-english,2021-06-05
5243,GATE_Civil,2021-07-06
5243,SE_Junior,2021-07-06
5243,Apti_ess,2021-07-06
5609,Spoken_eng_hindi,2021-06-05
5970,spoken-english,2021-06-05
6190,Spoken_eng_hindi,2021-06-05
6323,Spoken_eng_hindi,2021-06-05
7102,kerala-psc,2021-06-05
7305,Spoken_eng_hindi,2021-06-05
7446,Spoken_eng_hindi,2021-06-05
8062,Spoken_eng_hindi,2021-06-05
8962,Spoken_eng_hindi,2021-06-05
9331,spoken-english,2021-06-05
9540,Spoken_eng_hindi,2021-06-05
9677,Spoken_eng_hindi,2021-06-05
9747,Spoken_eng_hindi,2021-06-05
10458,Spoken_eng_hindi,2021-06-06
10590,Spoken_eng_hindi,2021-06-23
10590,Apti_ess,2021-06-06
11104,MPGOVT,2021-06-06
11104,Spoken_eng_hindi,2021-06-06
11104,STUH,2021-07-13
11729,Spoken_eng_hindi,2021-06-06
11729,STUH,2021-06-23
11729,Quant_Easy,2021-06-23
11736,K_HSA,2021-06-06
12102,Eng_Inver_Coc,2021-06-06
12671,Spoken_eng_hindi,2021-06-06
12749,kerala-psc,2021-06-06
12749,OP_KWA,2021-06-06
12749,Civil_Tech,2021-06-06
13430,Eng_Inver_Coc,2021-06-06
13940,spoken-english,2021-06-11
13940,Group_2_2A,2021-07-10
13940,TNPSC,2021-06-06
15230,Spoken_eng_hindi,2021-06-06
15431,kerala-psc,2021-06-06
15431,KPSC_Driver,2021-06-06
15514,spoken-english,2021-06-06
15605,APPSC,2021-06-06
16938,spoken-english,2021-06-06
16938,Anb_eng,2021-06-07
16980,spoken-english,2021-06-06
17705,kerala-psc,2021-06-06
18663,TSPSC,2021-06-07
18663,spoken-english,2021-06-07
18663,BANK-INS,2021-06-07
18663,Public_Speaking,2021-07-09
18663,APPSC,2021-06-07
18663,rrb,2021-06-07
18935,kerala-psc,2021-06-07
18935,ENTRI_GOLD,2021-06-10
19104,BANK-INS,2021-06-07
19104,MPGOVT,2021-06-07
19117,KPSC_Driver,2021-06-07
19709,MPGOVT,2021-06-07
19800,Spoken_eng_hindi,2021-06-07
20117,Anb_eng,2021-06-07
20168,MPGOVT,2021-06-07
20168,rrb,2021-06-07
20603,KPSC_Driver,2021-06-08
20603,rrb,2021-06-07
20603,Apti_ess,2021-07-11
20603,ssc,2021-06-18
20740,K_HSA,2021-06-07
20817,Spoken_eng_hindi,2021-06-07
21043,Spoken_eng_hindi,2021-06-07
21068,spoken-english,2021-06-07
21068,Eng_Inver_Coc,2021-06-07
21317,Group_1,2021-06-11
21317,Tet,2021-06-07
21447,BANK-INS,2021-06-11
21447,Spoken_eng_hindi,2021-06-07
21708,kerala-psc,2021-06-07
21760,BANK-INS,2021-06-07
21808,Spoken_eng_hindi,2021-06-07
22055,kerala-psc,2021-06-07
22059,Anb_eng,2021-06-07
23592,TSPSC,2021-06-07
23592,spoken-english,2021-06-07
23744,K_HSA,2021-06-07
23827,spoken-english,2021-06-07
23908,kerala-psc,2021-06-07
24495,K_HSA,2021-07-02
24992,Eng_Inver_Coc,2021-06-10
25313,cet,2021-06-07
25313,Spoken_eng_hindi,2021-06-07
26478,Tet,2021-06-08
26580,spoken-english,2021-06-29
26580,TNPSC,2021-06-08
27054,spoken-english,2021-06-08
27499,UPGOVT,2021-06-08
27593,spoken-english,2021-06-11
27593,kerala-psc,2021-06-09
27593,Civil_Tech,2021-06-08
