user_uid,date_joined,date_of_first_purhcase
6,2021-06-04,2021-06-04
608,2021-06-04,
635,2021-06-04,
745,2021-06-04,
1506,2021-06-04,
1512,2021-06-04,
1642,2021-06-04,2021-06-04
1796,2021-06-04,
1831,2021-06-04,2021-06-16
2610,2021-06-05,2021-06-05
3418,2021-06-05,2021-07-07
3421,2021-06-05,2021-06-05
3439,2021-06-05,2021-06-07
3458,2021-06-05,
3464,2021-06-05,2021-06-26
3664,2021-06-05,2021-06-04
3827,2021-06-05,
5201,2021-06-05,2021-06-25
5243,2021-06-05,
5609,2021-06-05,
5970,2021-06-05,2021-06-04
6190,2021-06-05,2021-06-08
6323,2021-06-05,2021-06-05
7102,2021-06-05,2021-06-06
7305,2021-06-05,2021-06-05
7446,2021-06-05,2021-06-28
8062,2021-06-05,2021-06-07
8962,2021-06-05,2021-06-05
9331,2021-06-05,
9540,2021-06-05,2021-06-19
9677,2021-06-05,2021-06-05
9747,2021-06-05,2021-06-05
10458,2021-06-06,2021-06-06
10590,2021-06-06,
11104,2021-06-06,2021-06-06
11729,2021-06-06,2021-06-06
11736,2021-06-06,2021-06-05
12102,2021-06-06,
12671,2021-06-06,2021-06-05
12749,2021-06-06,
13061,2021-06-06,
13430,2021-06-06,2021-06-05
13940,2021-06-06,2021-06-10
15230,2021-06-06,2021-06-06
15431,2021-06-06,2021-06-05
15514,2021-06-06,
15605,2021-06-06,2021-06-11
16938,2021-06-06,2021-06-06
16980,2021-06-06,2021-06-08
17705,2021-06-06,2021-06-09
18663,2021-06-07,2021-06-07
18935,2021-06-07,2021-06-09
19104,2021-06-07,
19117,2021-06-07,2021-06-14
19709,2021-06-07,
19800,2021-06-07,2021-06-08
20117,2021-06-07,
20168,2021-06-07,
20603,2021-06-07,2021-06-10
20740,2021-06-07,2021-06-06
20817,2021-06-07,2021-06-08
21043,2021-06-07,2021-06-07
21068,2021-06-07,2021-06-13
21317,2021-06-07,2021-06-12
21447,2021-06-07,2021-06-07
21708,2021-06-07,
21760,2021-06-07,2021-06-08
21808,2021-06-07,2021-06-07
22055,2021-06-07,
22059,2021-06-07,
23592,2021-06-07,
23744,2021-06-07,2021-06-07
23827,2021-06-07,
23908,2021-06-07,
24366,2021-06-07,
24495,2021-06-07,2021-07-02
24992,2021-06-07,
25313,2021-06-07,2021-06-07
26478,2021-06-08,
26580,2021-06-08,2021-06-09
27054,2021-06-08,
27499,2021-06-08,
27593,2021-06-08,2021-06-15
27946,2021-06-08,2021-06-09
28487,2021-06-08,2021-06-09
28516,2021-06-08,2021-06-07
28531,2021-06-08,2021-06-16
28621,2021-06-08,2021-06-11
29241,2021-06-08,
29403,2021-06-08,2021-06-15
29443,2021-06-08,
29712,2021-06-08,2021-06-08
30113,2021-06-08,
30117,2021-06-08,
30146,2021-06-08,2021-06-11
30206,2021-06-08,2021-06-30
30437,2021-06-08,2021-06-08
30514,2021-06-08,
30582,2021-06-08,2021-06-08
31373,2021-06-08,2021-06-07
31686,2021-06-08,
31835,2021-06-08,2021-06-09
31949,2021-06-08,2021-06-09
32116,2021-06-08,
32455,2021-06-08,2021-06-11
33238,2021-06-08,
33253,2021-06-08,
33306,2021-06-08,
33681,2021-06-08,
34032,2021-06-08,2021-06-08
34093,2021-06-08,2021-06-10
34172,2021-06-08,
34271,2021-06-08,2021-06-10
34494,2021-06-08,
34926,2021-06-09,2021-06-13
35674,2021-06-09,2021-06-08
36009,2021-06-09,2021-06-09
36042,2021-06-09,
