user_id,attempt_id,started_at,status,no_of_questions,question_attempted
1506,50839743,None,CREATE,10,0
1506,50839752,None,PAUSE,10,10
1642,50842794,2021-06-04 16:52:25.634573+00:00,COMPLETE,10,10
1642,50843057,2021-06-04 16:55:37.917805+00:00,COMPLETE,10,10
1642,50843164,None,CREATE,10,0
1642,50844719,2021-06-04 17:13:54.987653+00:00,COMPLETE,10,10
1642,50849453,2021-06-04 18:11:06.781707+00:00,COMPLETE,10,10
1642,50849631,None,CREATE,10,0
1642,50850174,2021-06-04 18:21:15.356273+00:00,COMPLETE,10,10
1642,50850443,2021-06-04 18:25:48.923878+00:00,COMPLETE,10,10
1642,50850536,2021-06-04 18:27:47.524219+00:00,COMPLETE,10,10
1642,50850629,None,CREATE,10,0
6,50855054,None,COMPLETE,30,0
2610,50856651,2021-06-05 01:53:11.339191+00:00,COMPLETE,10,10
3439,50862454,2021-06-05 04:00:04.158904+00:00,COMPLETE,10,10
3664,50865590,None,CREATE,10,0
3421,50869277,None,CREATE,60,0
1831,50883356,2021-06-05 08:04:39.343837+00:00,COMPLETE,10,10
5201,50883960,None,CREATE,10,0
1831,50884048,2021-06-05 08:13:16.343334+00:00,COMPLETE,10,10
1831,50884183,None,CREATE,10,0
1831,50884702,2021-06-05 08:22:09.460282+00:00,COMPLETE,5,5
1831,50884904,2021-06-05 08:24:23.621962+00:00,COMPLETE,5,5
1831,50884950,2021-06-05 08:25:07.465987+00:00,COMPLETE,5,5
1831,50884998,None,CREATE,5,0
2610,50886355,2021-06-05 08:44:01.172429+00:00,COMPLETE,10,10
2610,50887360,2021-06-05 08:59:29.222807+00:00,COMPLETE,10,10
2610,50888325,2021-06-05 09:11:09.432595+00:00,COMPLETE,10,10
2610,50897851,2021-06-05 10:45:27.795707+00:00,COMPLETE,10,10
3664,50900061,2021-06-05 11:10:05.229081+00:00,COMPLETE,6,6
3664,50900242,2021-06-05 11:12:00.852904+00:00,COMPLETE,6,6
3664,50900884,None,CREATE,100,0
6323,50901373,2021-06-05 11:26:58.668992+00:00,COMPLETE,10,10
6323,50903711,2021-06-05 11:58:26.892419+00:00,COMPLETE,10,10
6323,50903942,None,CREATE,100,0
3664,50907501,2021-06-05 12:46:17.354224+00:00,COMPLETE,50,5
3664,50907674,None,CREATE,50,0
8062,50919270,None,PAUSE,10,10
9331,50935021,2021-06-05 17:22:57.462810+00:00,COMPLETE,10,10
9331,50935430,None,CREATE,10,0
2610,50937783,2021-06-05 17:57:06.472440+00:00,COMPLETE,20,20
2610,50939205,2021-06-05 18:19:20.221105+00:00,COMPLETE,20,15
2610,50944664,2021-06-06 00:53:30.615275+00:00,COMPLETE,20,20
2610,50945107,2021-06-06 01:06:24.566418+00:00,COMPLETE,20,20
2610,50945697,2021-06-06 01:23:21.184384+00:00,COMPLETE,20,19
2610,50946334,2021-06-06 06:01:15.408516+00:00,COMPLETE,20,20
11729,50960136,2021-06-06 06:43:56.652129+00:00,COMPLETE,10,10
11729,50960352,2021-06-06 05:39:55.078955+00:00,COMPLETE,20,13
11729,50960688,None,CREATE,20,0
11729,50962619,2021-06-06 06:42:14.744787+00:00,COMPLETE,10,10
2610,50962929,None,CREATE,20,0
11736,50963241,2021-06-06 06:12:41.209870+00:00,COMPLETE,10,2
11736,50963432,None,CREATE,10,0
2610,50964710,2021-06-06 06:28:26.701745+00:00,COMPLETE,20,20
6323,50965749,2021-06-06 06:38:22.106545+00:00,COMPLETE,10,10
11729,50966319,2021-06-18 11:25:58.497072+00:00,COMPLETE,10,10
6323,50966574,None,CREATE,10,0
2610,50968301,2021-06-06 07:02:13.816330+00:00,COMPLETE,20,20
2610,50970483,2021-06-06 07:51:34.731633+00:00,COMPLETE,20,20
6323,50970633,2021-06-06 07:24:45.737947+00:00,COMPLETE,10,10
3464,50971363,2021-07-02 23:51:18.413848+00:00,COMPLETE,5,5
11729,50973243,2021-06-07 09:18:29.164767+00:00,COMPLETE,20,20
2610,50973870,None,CREATE,20,0
3464,50976683,2021-07-13 00:32:31.516626+00:00,COMPLETE,20,20
11104,50977284,2021-06-06 08:52:53.917563+00:00,COMPLETE,10,10
11104,50978782,2021-06-06 09:03:45.361545+00:00,COMPLETE,10,10
