user_id,activity_id,start_time
1642,4197126,2021-06-04 16:51:51.454473+00:00
1642,4197075,2021-06-04 16:43:10.115201+00:00
1642,4197074,2021-06-04 16:43:10.082261+00:00
1642,4197577,2021-06-04 18:20:58.487196+00:00
1642,4197174,2021-06-04 16:57:46.487970+00:00
5201,4200305,2021-06-05 07:57:54.491134+00:00
1642,4197598,2021-06-04 18:29:58.200151+00:00
1642,4197610,2021-06-04 18:36:54.346614+00:00
2610,4198124,2021-06-05 01:52:48.210286+00:00
3421,4198603,2021-06-05 04:02:18.634558+00:00
2610,4200563,2021-06-05 08:43:55.049974+00:00
2610,4200730,2021-06-05 09:10:37.800240+00:00
2610,4200635,2021-06-05 08:55:43.274460+00:00
2610,4201434,2021-06-05 10:45:14.930305+00:00
5201,4200306,2021-06-05 07:57:54.522397+00:00
9540,4205264,2021-06-05 18:33:16.224848+00:00
2610,4205030,2021-06-05 17:56:30.839133+00:00
2610,4205179,2021-06-05 18:14:06.740571+00:00
9540,4205263,2021-06-05 18:33:16.206669+00:00
2610,4205802,2021-06-06 01:06:06.321412+00:00
2610,4205766,2021-06-06 00:53:10.314443+00:00
2610,4205840,2021-06-06 01:22:46.323693+00:00
2610,4198123,2021-06-05 01:52:48.196961+00:00
11729,4207964,2021-06-06 06:49:50.220183+00:00
11729,4207324,2021-06-06 05:39:00.603326+00:00
11729,4207280,2021-06-06 05:32:57.456481+00:00
11729,4207566,2021-06-06 06:05:25.354553+00:00
6323,4208130,2021-06-06 07:09:26.532336+00:00
2610,4208061,2021-06-06 07:01:36.520631+00:00
2610,4207773,2021-06-06 06:27:55.425455+00:00
6323,4207807,2021-06-06 06:31:19.277006+00:00
6323,4207806,2021-06-06 06:31:19.257382+00:00
15230,4212035,2021-06-06 14:42:46.842777+00:00
2610,4208288,2021-06-06 07:24:30.259918+00:00
11729,4208563,2021-06-06 07:53:23.900604+00:00
11104,4208895,2021-06-06 08:36:35.318481+00:00
